[2020-09-16 10:25:13]	select * from _tbl_admin where UserName='admin@resume.com' and Password='123456' 
[2020-09-16 10:26:15]	select * from _tbl_resume_admin where UserName='admin@resume.com' and Password='123456' 
[2020-09-16 10:30:56]	select * from _tbl_master_statenames order by StateName
[2020-09-16 10:30:56]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_master_statenames' doesn't exist
[2020-09-16 10:30:56]	select * from _tbl_store_types order by StoreTypeName
[2020-09-16 10:30:56]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_store_types' doesn't exist
[2020-09-16 10:31:24]	select * from _tbl_master_statenames order by StateName
[2020-09-16 10:31:24]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_master_statenames' doesn't exist
[2020-09-16 10:31:24]	select * from _tbl_store_types order by StoreTypeName
[2020-09-16 10:31:24]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_store_types' doesn't exist
[2020-09-16 10:31:52]	select * from _tbl_master_statenames order by StateName
[2020-09-16 10:31:52]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_master_statenames' doesn't exist
[2020-09-16 10:31:52]	select * from _tbl_store_types order by StoreTypeName
[2020-09-16 10:31:52]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_store_types' doesn't exist
[2020-09-16 11:14:06]	insert into `_tbl_resume_general_info` (`ResumeName`,`MobileNumber`,`EmailID`,`AddressLine1`,`AddressLine2`,`AddressLine3`,`ProfilePhoto`,`Description`,`CreatedOn`) values ('','9000000000','demo@gmail.com','aa','bb','cc','IMG-20170819-WA0058.jpg','aasasa','2020-09-16 11:14:06')
[2020-09-16 11:24:45]	select * from _tbl_resume_general_info where ResumeID=''
[2020-09-16 11:24:45]	select * from _tbl_resume_general_info where ResumeID=''
[2020-09-16 11:25:13]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:25:13]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:04]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:04]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:33]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:33]	update _tbl_resume_general_info set `ResumeName`    ='Demoo',
                                                                          `MobileNumber`  ='9000000001',
                                                                          `EmailID`       ='demoo@gmail.com',
                                                                          `AddressLine1`  ='aaa',
                                                                          `AddressLine2`  ='bbb',
                                                                          `AddressLine3`  ='ccc',
                                                                          `Description`   ='aasasac',
                                                                          `ProfilePhoto`  ='IMG-20170819-WA0058.jpg' where ResumeID='1'
[2020-09-16 11:29:33]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:40]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:29:40]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:30:47]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:30:47]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:31:20]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:31:20]	update _tbl_resume_general_info set `ResumeName`    ='Demoo',
                                                                          `MobileNumber`  ='9000000001',
                                                                          `EmailID`       ='demoo@gmail.com',
                                                                          `AddressLine1`  ='aaa',
                                                                          `AddressLine2`  ='bbb',
                                                                          `AddressLine3`  ='ccc',
                                                                          `Description`   ='aasasac',
                                                                          `ProfilePhoto`  ='IMG-20170819-WA0060.jpg' where ResumeID='1'
[2020-09-16 11:31:20]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:38:17]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:38:17]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:38:17]	select * from _tbl_resume_education where ResumeID='1'
[2020-09-16 11:38:17]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_resume_education' doesn't exist
[2020-09-16 11:38:42]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:38:42]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:38:42]	select * from _tbl_resume_education where ResumeID='1'
[2020-09-16 11:38:42]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_resume_education' doesn't exist
[2020-09-16 11:41:04]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:41:04]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:41:04]	select * from _tbl_resume_education where ResumeID='1'
[2020-09-16 11:41:04]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'japps_database._tbl_resume_education' doesn't exist
[2020-09-16 11:41:41]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:41:41]	select * from _tbl_resume_general_info where ResumeID='1'
[2020-09-16 11:41:41]	select * from _tbl_resume_education where ResumeID='1'
