[2020-09-01 10:01:54]	select * from _tbl_admin where UserName='admin@admin.com' and Password='123456' 
[2020-09-01 10:02:01]	select * from _tbl_admin where UserName='admin@admin.com' and Password='123456789' 
[2020-09-01 10:02:25]	select * from _tbl_tour
[2020-09-01 10:02:25]	SELECT COUNT(SubTourTypeID) AS cnt FROM _tbl_sub_tour where TourTypeID='1'
[2020-09-01 10:02:25]	SELECT COUNT(SubTourTypeID) AS cnt FROM _tbl_sub_tour where TourTypeID='2'
[2020-09-01 10:02:25]	SELECT COUNT(SubTourTypeID) AS cnt FROM _tbl_sub_tour where TourTypeID='3'
[2020-09-01 10:03:27]	select * from _tbl_sub_tour order by TourTypeID desc
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='3'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='3'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='3'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='3'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='2'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='2'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='2'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='2'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:03:27]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_tours_package
[2020-09-01 10:04:07]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:04:07]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 10:05:13]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 10:05:13]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 10:05:13]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 10:05:13]	select * from _tbl_package_date_cost where PackageID='1'
[2020-09-01 10:05:13]	select * from _tbl_tour_enquiry where PackageID='1'
[2020-09-01 10:06:16]	select * from _tbl_tour_enquiry where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 10:06:16]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 10:06:34]	insert into `_tbl_package_date_cost` (`TourDate`,`PackagePrice`,`OfferPrice`,`SavePrice`,`PackageID`,`IsActive`,`AddedOn`) values ('','','',Null,'','','2020-09-01 10:06:34')
[2020-09-01 10:06:34]	SQLSTATE[22007]: Invalid datetime format: 1292 Incorrect datetime value: '' for column 'TourDate' at row 1
[2020-09-01 11:06:00]	select * from _tbl_admin where UserName='admin@admin.com' and Password='123456789' 
[2020-09-01 11:06:09]	select * from _tbl_tours_package
[2020-09-01 11:06:09]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 11:06:09]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 11:06:09]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 11:06:09]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 11:06:09]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 11:06:09]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 11:06:17]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 11:06:17]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 11:06:17]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 11:06:17]	select * from _tbl_package_date_cost where PackageID='1'
[2020-09-01 11:06:17]	select * from _tbl_tour_enquiry where PackageID='1'
[2020-09-01 11:06:46]	select * from _tbl_tour_enquiry where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 11:06:46]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 11:17:07]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 11:17:27]	insert into `_tbl_package_date_cost` (`TourDate`,`PackagePrice`,`OfferPrice`,`SavePrice`,`PackageID`,`IsActive`,`AddedOn`) values ('2020-09-10','20000','14000','6000','1','Yes','2020-09-01 11:17:27')
[2020-09-01 11:17:31]	select * from _tbl_tours_package where md5(PackageID)='c4ca4238a0b923820dcc509a6f75849b'
[2020-09-01 11:17:31]	select * from _tbl_tour where TourTypeID='1'
[2020-09-01 11:17:31]	select * from _tbl_sub_tour where SubTourTypeID='1'
[2020-09-01 11:17:31]	select * from _tbl_package_date_cost where PackageID='1'
[2020-09-01 11:17:31]	select * from _tbl_tour_enquiry where PackageID='1'
[2020-09-01 11:36:52]	select * from _tbl_tour
[2020-09-01 11:36:52]	SELECT COUNT(SubTourTypeID) AS cnt FROM _tbl_sub_tour where TourTypeID='1'
[2020-09-01 11:36:52]	SELECT COUNT(SubTourTypeID) AS cnt FROM _tbl_sub_tour where TourTypeID='2'
