[2020-11-18 04:02:11]	select * from _tbl_store_types where IsActive='1'
[2020-11-18 09:50:45]	select * from `_tbl_Members` where  `MemberCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from _tbl_Settings_Packages where PackageID='1'
[2020-11-18 09:50:45]	insert into `_tbl_members_login_logs` (`MemberID`,`LoginOn`,`username`,`userpassword`,`IsSuccess`) values ('252','2020-11-18 09:50:45','WTDAR00069','wtgmpl','1')
[2020-11-18 09:50:45]	SQLSTATE[42S22]: Column not found: 1054 Unknown column 'username' in 'field list'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:50:45]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:50:45]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:50:45]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:50:45]	select * from _tbl_payoutsummary where MemberCode='WTDAR00069'
[2020-11-18 09:50:45]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTDAR00069'
[2020-11-18 09:50:45]	select * from _tbl_Members where MemberID='252'
